index,latitude,longitude
115,22.00519056,113.01096050
116,22.00500000,113.01075496
117,22.00480944,113.01054943
118,22.00461888,113.01034389
119,22.00442832,113.01013836
120,22.00423775,113.00993283
121,22.00404719,113.00972729
122,22.00385663,113.00952176
123,22.00366607,113.00931622
124,22.00347551,113.00911069
125,22.00328495,113.00890515
126,22.00309439,113.00869962
127,22.00290382,113.00849408
128,22.00271326,113.00828855
129,22.00252270,113.00808302
130,22.00233214,113.00787748
131,22.00214158,113.00767195
132,22.00195102,113.00746641
133,22.00176046,113.00726088
134,22.00156989,113.00705534
135,22.00137933,113.00684981
136,22.00118877,113.00664428
137,22.00099821,113.00643874
138,22.00080765,113.00623321
139,22.00061709,113.00602767
140,22.00042653,113.00582214
141,22.00023596,113.00561660
142,22.00004540,113.00541107
143,21.99985484,113.00520553
144,21.99966428,113.00500000
145,21.99947372,113.00479447
146,21.99928316,113.00458893
147,21.99909260,113.00438340
148,21.99890203,113.00417786
149,22.00595281,113.01137157
150,22.00576225,113.01116603
151,22.00557168,113.01096050
152,22.00538112,113.01075496
153,22.00519056,113.01054943
154,22.00500000,113.01034389
155,22.00480944,113.01013836
156,22.00461888,113.00993283
157,22.00442832,113.00972729
158,22.00423775,113.00952176
159,22.00404719,113.00931622
160,22.00385663,113.00911069
161,22.00366607,113.00890515
162,22.00347551,113.00869962
163,22.00328495,113.00849408
164,22.00309439,113.00828855
165,22.00290382,113.00808302
166,22.00271326,113.00787748
167,22.00252270,113.00767195
168,22.00233214,113.00746641
169,22.00214158,113.00726088
170,22.00195102,113.00705534
171,22.00176046,113.00684981
172,22.00156989,113.00664428
173,22.00137933,113.00643874
174,22.00118877,113.00623321
175,22.00099821,113.00602767
176,22.00080765,113.00582214
177,22.00061709,113.00561660
178,22.00042653,113.00541107
179,22.00023596,113.00520553
180,22.00004540,113.00500000
181,21.99985484,113.00479447
182,21.99966428,113.00458893
183,21.99947372,113.00438340
184,21.99928316,113.00417786
185,21.99909260,113.00397233
186,22.00614337,113.01116603
187,22.00595281,113.01096050
188,22.00576225,113.01075496
189,22.00557168,113.01054943
190,22.00538112,113.01034389
191,22.00519056,113.01013836
192,22.00500000,113.00993283
193,22.00480944,113.00972729
194,22.00461888,113.00952176
195,22.00442832,113.00931622
196,22.00423775,113.00911069
197,22.00404719,113.00890515
198,22.00385663,113.00869962
199,22.00366607,113.00849408
200,22.00347551,113.00828855
201,22.00328495,113.00808302
202,22.00309439,113.00787748
203,22.00290382,113.00767195
204,22.00271326,113.00746641
205,22.00252270,113.00726088
206,22.00233214,113.00705534
207,22.00214158,113.00684981
208,22.00195102,113.00664428
209,22.00176046,113.00643874
210,22.00156989,113.00623321
211,22.00137933,113.00602767
212,22.00118877,113.00582214
213,22.00099821,113.00561660
214,22.00080765,113.00541107
215,22.00061709,113.00520553
216,22.00042653,113.00500000
217,22.00023596,113.00479447
218,22.00004540,113.00458893
219,21.99985484,113.00438340
220,21.99966428,113.00417786
221,21.99947372,113.00397233
222,21.99928316,113.00376679
223,22.00633393,113.01096050
224,22.00614337,113.01075496
225,22.00595281,113.01054943
226,22.00576225,113.01034389
227,22.00557168,113.01013836
228,22.00538112,113.00993283
229,22.00519056,113.00972729
230,22.00500000,113.00952176
231,22.00480944,113.00931622
232,22.00461888,113.00911069
233,22.00442832,113.00890515
234,22.00423775,113.00869962
235,22.00404719,113.00849408
236,22.00385663,113.00828855
237,22.00366607,113.00808302
238,22.00347551,113.00787748
239,22.00328495,113.00767195
240,22.00309439,113.00746641
241,22.00290382,113.00726088
242,22.00271326,113.00705534
243,22.00252270,113.00684981
244,22.00233214,113.00664428
245,22.00214158,113.00643874
246,22.00195102,113.00623321
247,22.00176046,113.00602767
248,22.00156989,113.00582214
249,22.00137933,113.00561660
250,22.00118877,113.00541107
251,22.00099821,113.00520553
252,22.00080765,113.00500000
253,22.00061709,113.00479447
254,22.00042653,113.00458893
255,22.00023596,113.00438340
256,22.00004540,113.00417786
257,21.99985484,113.00397233
258,21.99966428,113.00376679
259,21.99947372,113.00356126
260,22.00652449,113.01075496
261,22.00633393,113.01054943
262,22.00614337,113.01034389
263,22.00595281,113.01013836
264,22.00576225,113.00993283
265,22.00557168,113.00972729
266,22.00538112,113.00952176
267,22.00519056,113.00931622
268,22.00500000,113.00911069
269,22.00480944,113.00890515
270,22.00461888,113.00869962
271,22.00442832,113.00849408
272,22.00423775,113.00828855
273,22.00404719,113.00808302
274,22.00385663,113.00787748
275,22.00366607,113.00767195
276,22.00347551,113.00746641
277,22.00328495,113.00726088
278,22.00309439,113.00705534
279,22.00290382,113.00684981
280,22.00271326,113.00664428
281,22.00252270,113.00643874
282,22.00233214,113.00623321
283,22.00214158,113.00602767
284,22.00195102,113.00582214
285,22.00176046,113.00561660
286,22.00156989,113.00541107
287,22.00137933,113.00520553
288,22.00118877,113.00500000
289,22.00099821,113.00479447
290,22.00080765,113.00458893
291,22.00061709,113.00438340
292,22.00042653,113.00417786
293,22.00023596,113.00397233
294,22.00004540,113.00376679
295,21.99985484,113.00356126
296,21.99966428,113.00335572
297,22.00671505,113.01054943
298,22.00652449,113.01034389
299,22.00633393,113.01013836
300,22.00614337,113.00993283
301,22.00595281,113.00972729
302,22.00576225,113.00952176
303,22.00557168,113.00931622
304,22.00538112,113.00911069
305,22.00519056,113.00890515
306,22.00500000,113.00869962
307,22.00480944,113.00849408
308,22.00461888,113.00828855
309,22.00442832,113.00808302
310,22.00423775,113.00787748
311,22.00404719,113.00767195
312,22.00385663,113.00746641
313,22.00366607,113.00726088
314,22.00347551,113.00705534
315,22.00328495,113.00684981
316,22.00309439,113.00664428
317,22.00290382,113.00643874
318,22.00271326,113.00623321
319,22.00252270,113.00602767
320,22.00233214,113.00582214
321,22.00214158,113.00561660
322,22.00195102,113.00541107
323,22.00176046,113.00520553
324,22.00156989,113.00500000
325,22.00137933,113.00479447
326,22.00118877,113.00458893
327,22.00099821,113.00438340
328,22.00080765,113.00417786
329,22.00061709,113.00397233
330,22.00042653,113.00376679
331,22.00023596,113.00356126
332,22.00004540,113.00335572
333,21.99985484,113.00315019
334,22.00690561,113.01034389
335,22.00671505,113.01013836
336,22.00652449,113.00993283
337,22.00633393,113.00972729
338,22.00614337,113.00952176
339,22.00595281,113.00931622
340,22.00576225,113.00911069
341,22.00557168,113.00890515
342,22.00538112,113.00869962
343,22.00519056,113.00849408
344,22.00500000,113.00828855
345,22.00480944,113.00808302
346,22.00461888,113.00787748
347,22.00442832,113.00767195
348,22.00423775,113.00746641
349,22.00404719,113.00726088
350,22.00385663,113.00705534
351,22.00366607,113.00684981
352,22.00347551,113.00664428
353,22.00328495,113.00643874
354,22.00309439,113.00623321
355,22.00290382,113.00602767
356,22.00271326,113.00582214
357,22.00252270,113.00561660
358,22.00233214,113.00541107
359,22.00214158,113.00520553
360,22.00195102,113.00500000
361,22.00176046,113.00479447
362,22.00156989,113.00458893
363,22.00137933,113.00438340
364,22.00118877,113.00417786
365,22.00099821,113.00397233
366,22.00080765,113.00376679
367,22.00061709,113.00356126
368,22.00042653,113.00335572
369,22.00023596,113.00315019
370,22.00004540,113.00294466
371,22.00709618,113.01013836
372,22.00690561,113.00993283
373,22.00671505,113.00972729
374,22.00652449,113.00952176
375,22.00633393,113.00931622
376,22.00614337,113.00911069
377,22.00595281,113.00890515
378,22.00576225,113.00869962
379,22.00557168,113.00849408
380,22.00538112,113.00828855
381,22.00519056,113.00808302
382,22.00500000,113.00787748
383,22.00480944,113.00767195
384,22.00461888,113.00746641
385,22.00442832,113.00726088
386,22.00423775,113.00705534
387,22.00404719,113.00684981
388,22.00385663,113.00664428
389,22.00366607,113.00643874
390,22.00347551,113.00623321
391,22.00328495,113.00602767
392,22.00309439,113.00582214
393,22.00290382,113.00561660
394,22.00271326,113.00541107
395,22.00252270,113.00520553
396,22.00233214,113.00500000
397,22.00214158,113.00479447
398,22.00195102,113.00458893
399,22.00176046,113.00438340
400,22.00156989,113.00417786
401,22.00137933,113.00397233
402,22.00118877,113.00376679
403,22.00099821,113.00356126
404,22.00080765,113.00335572
405,22.00061709,113.00315019
406,22.00042653,113.00294466
407,22.00023596,113.00273912
408,22.00728674,113.00993283
409,22.00709618,113.00972729
410,22.00690561,113.00952176
411,22.00671505,113.00931622
412,22.00652449,113.00911069
413,22.00633393,113.00890515
414,22.00614337,113.00869962
415,22.00595281,113.00849408
416,22.00576225,113.00828855
417,22.00557168,113.00808302
418,22.00538112,113.00787748
419,22.00519056,113.00767195
420,22.00500000,113.00746641
421,22.00480944,113.00726088
422,22.00461888,113.00705534
423,22.00442832,113.00684981
424,22.00423775,113.00664428
425,22.00404719,113.00643874
426,22.00385663,113.00623321
427,22.00366607,113.00602767
428,22.00347551,113.00582214
429,22.00328495,113.00561660
430,22.00309439,113.00541107
431,22.00290382,113.00520553
432,22.00271326,113.00500000
433,22.00252270,113.00479447
434,22.00233214,113.00458893
435,22.00214158,113.00438340
436,22.00195102,113.00417786
437,22.00176046,113.00397233
438,22.00156989,113.00376679
439,22.00137933,113.00356126
440,22.00118877,113.00335572
441,22.00099821,113.00315019
442,22.00080765,113.00294466
443,22.00061709,113.00273912
444,22.00042653,113.00253359
445,22.00747730,113.00972729
446,22.00728674,113.00952176
447,22.00709618,113.00931622
448,22.00690561,113.00911069
449,22.00671505,113.00890515
450,22.00652449,113.00869962
451,22.00633393,113.00849408
452,22.00614337,113.00828855
453,22.00595281,113.00808302
454,22.00576225,113.00787748
455,22.00557168,113.00767195
456,22.00538112,113.00746641
457,22.00519056,113.00726088
458,22.00500000,113.00705534
459,22.00480944,113.00684981
460,22.00461888,113.00664428
461,22.00442832,113.00643874
462,22.00423775,113.00623321
463,22.00404719,113.00602767
464,22.00385663,113.00582214
465,22.00366607,113.00561660
466,22.00347551,113.00541107
467,22.00328495,113.00520553
468,22.00309439,113.00500000
469,22.00290382,113.00479447
